index,x,y,z,ray_x,ray_y,ray_z,min_distance
13,-0.033213839,0.469602066,0.448186055,-0.499346817,-0.616402822,0.608851639,inf
13,-0.033213839,0.469602066,0.448186055,-0.258480932,-0.676460726,0.689629244,inf
13,-0.033213839,0.469602066,0.448186055,-1.22E-16,-0.690418949,0.723409756,inf
13,-0.033213839,0.469602066,0.448186055,0.258480932,-0.657326261,0.707891089,inf
13,-0.033213839,0.469602066,0.448186055,0.499346817,-0.579437876,0.644130814,inf
13,-0.033213839,0.469602066,0.448186055,0.70618304,-0.462061756,0.536474088,inf
13,-0.033213839,0.469602066,0.448186055,0.864894057,-0.313196892,0.39225754,inf
13,-0.033213839,0.469602066,0.448186055,0.964663973,-0.142988177,0.221309288,inf
13,-0.033213839,0.469602066,0.448186055,0.998693633,0.036964946,0.035279175,inf
13,-0.033213839,0.469602066,0.448186055,0.964663973,0.214398969,-0.153155156,inf
13,-0.033213839,0.469602066,0.448186055,0.864894057,0.377222057,-0.331152217,2.129774809
13,-0.033213839,0.469602066,0.448186055,0.70618304,0.514338084,-0.4865818,1.562003732
13,-0.033213839,0.469602066,0.448186055,0.499346817,0.616402822,-0.608851639,1.303365231
13,-0.033213839,0.469602066,0.448186055,0.258480932,0.676460726,-0.689629244,1.187649131
14,-0.035768749,0.505725302,0.482661906,0,0.690418949,-0.723409756,1.111317635
14,-0.035768749,0.505725302,0.482661906,-0.258480932,0.657326261,-0.707891089,1.16726625
14,-0.035768749,0.505725302,0.482661906,-0.499346817,0.579437876,-0.644130814,inf
14,-0.035768749,0.505725302,0.482661906,-0.70618304,0.462061756,-0.536474088,inf
14,-0.035768749,0.505725302,0.482661906,-0.864894057,0.313196892,-0.39225754,inf
14,-0.035768749,0.505725302,0.482661906,-0.964663973,0.142988177,-0.221309288,inf
